ID ,type ,genotype,mouse,caging,cage no 
d1930_m11c1_lu_wt_ran_2_S76,mouse,wt,11,ran,1
d1930_m19c1_lu_wt_ran_S77,mouse,wt,19,ran,1
d1930_m35c1_lu_t2_ran_2_S80,mouse,t2,35,ran,1
d1930_m47c1_lu_t4_ran_S81,mouse,t4,47,ran,1
d1930_m70c1_lu_t5_ran_2_S84,mouse,t5,70,ran,1
d1930_m12c2_lu_wt_ran_2_S86,mouse,wt,12,ran,2
d1930_m20c2_lu_wt_ran_S87,mouse,wt,20,ran,2
d1930_m36c2_lu_t2_ran_2_S90,mouse,t2,36,ran,2
d1930_m48c2_lu_t4_ran_S91,mouse,t4,48,ran,2
d1930_m71c2_lu_t5_ran_2_S94,mouse,t5,71,ran,2
d1930_m13c3_lu_wt_ran_2_S98,mouse,wt,13,ran,3
d1930_m37c3_lu_t2_ran_S99,mouse,t2,37,ran,3
d1930_m41c3_lu_t4_ran_S101,mouse,t4,41,ran,3
d1930_m49c3_lu_t4_ran_2_S104,mouse,t4,49,ran,3
d1930_m72c3_lu_t5_ran_2_S106,mouse,t5,72,ran,3
d1930_m14c4_lu_wt_ran_2_S108,mouse,wt,14,ran,4
d1930_m38c4_lu_t2_ran_S109,mouse,t2,38,ran,4
d1930_m42c4_lu_t4_ran_S111,mouse,t4,42,ran,4
d1930_m50c4_lu_t4_ran_S113,mouse,t4,50,ran,4
d1930_m73c4_lu_t5_ran_S115,mouse,t5,73,ran,4
d1930_m15c5_lu_wt_ran_2_S118,mouse,wt,15,ran,5
d1930_m31c5_lu_t2_ran_2_S120,mouse,t2,31,ran,5
d1930_m39c5_lu_t2_ran_S121,mouse,t2,39,ran,5
d1930_m43c5_lu_t4_ran_S123,mouse,t4,43,ran,5
d1930_m74c5_lu_t5_ran_2_S126,mouse,t5,74,ran,5
d1930_m16c6_lu_wt_ran_2_S128,mouse,wt,16,ran,6
d1930_m32c6_lu_t2_ran_S129,mouse,t2,32,ran,6
d1930_m40c6_lu_t2_ran_2_S132,mouse,t2,40,ran,6
d1930_m44c6_lu_t4_ran_2_S134,mouse,t4,44,ran,6
d1930_m75c6_lu_t5_ran_S135,mouse,t5,75,ran,6
d1930_m17c7_lu_wt_ran_2_S138,mouse,wt,17,ran,7
d1930_m33c7_lu_t2_ran_S139,mouse,t2,33,ran,7
d1930_m45c7_lu_t4_ran_S141,mouse,t4,45,ran,7
d1930_m68c7_lu_t5_ran_S143,mouse,t5,68,ran,7
d1930_m76c7_lu_t5_ran_2_S146,mouse,t5,76,ran,7
d1930_m18c8_lu_wt_ran_S147,mouse,wt,18,ran,8
d1930_m34c8_lu_t2_ran_2_S150,mouse,t2,34,ran,8
d1930_m46c8_lu_t4_ran_2_S152,mouse,t4,46,ran,8
d1930_m69c8_lu_t5_ran_2_S154,mouse,t5,69,ran,8
d1930_m77c8_lu_t5_ran_2_S156,mouse,t5,77,ran,8
d1930_m1c9_lu_wt_non_S1,mouse,wt,1,non,9
d1930_m2c9_lu_wt_non_2_S4,mouse,wt,2,non,9
d1930_m3c9_lu_wt_non_S5,mouse,wt,3,non,9
d1930_m4c9_lu_wt_non_S7,mouse,wt,4,non,9
d1930_m5c9_lu_wt_non_2_S10,mouse,wt,5,non,9
d1930_m6c10_lu_wt_non_S11,mouse,wt,6,non,10
d1930_m7c10_lu_wt_non_2_S14,mouse,wt,7,non,10
d1930_m8c10_lu_wt_non_S15,mouse,wt,8,non,10
d1930_m9c10_lu_wt_non_2_S18,mouse,wt,9,non,10
d1930_m10c10_lu_wt_non_S19,mouse,wt,10,non,10
d1930_m21c11_lu_t2_non_2_S22,mouse,t2,21,non,11
d1930_m22c11_lu_t2_non_2_S24,mouse,t2,22,non,11
d1930_m23c11_lu_t2_non_2_S26,mouse,t2,23,non,11
d1930_m24c11_lu_t2_non_S27,mouse,t2,24,non,11
d1930_m25c11_lu_t2_non_S29,mouse,t2,25,non,11
d1930_m26c12_lu_t2_non_2_S32,mouse,t2,26,non,12
d1930_m27c12_lu_t2_non_2_S34,mouse,t2,27,non,12
d1930_m28c12_lu_t2_non_2_S36,mouse,t2,28,non,12
d1930_m29c12_lu_t2_non_2_S38,mouse,t2,29,non,12
d1930_m30c12_lu_t2_non_2_S40,mouse,t2,30,non,12
d1930_m51c13_lu_t4_non_S41,mouse,t4,51,non,13
d1930_m52c13_lu_t4_non_S43,mouse,t4,52,non,13
d1930_m53c13_lu_t4_non_S45,mouse,t4,53,non,13
d1930_m54c13_lu_t4_non_2_S48,mouse,t4,54,non,13
d1930_m55c13_lu_t4_non_2_S50,mouse,t4,55,non,13
d1930_m56c14_lu_t4_non_S51,mouse,t4,56,non,14
d1930_m57c14_lu_t4_non_S53,mouse,t4,57,non,14
d1930_m58c15_lu_t5_non_2_S56,mouse,t5,58,non,15
d1930_m59c15_lu_t5_non_S57,mouse,t5,59,non,15
d1930_m60c15_lu_t5_non_2_S60,mouse,t5,60,non,15
d1930_m61c15_lu_t5_non_2_S62,mouse,t5,61,non,15
d1930_m62c15_lu_t5_non_S63,mouse,t5,62,non,15
d1930_m63c16_lu_t5_non_S65,mouse,t5,63,non,16
d1930_m64c16_lu_t5_non_S67,mouse,t5,64,non,16
d1930_m65c16_lu_t5_non_S69,mouse,t5,65,non,16
d1930_m66c16_lu_t5_non_2_S72,mouse,t5,66,non,16
d1930_m67c16_lu_t5_non_2_S74,mouse,t5,67,non,16
d1930_h2o1_S170,ctrl,,,,
d1930_h2o2_S171,ctrl,,,,
d1930_instrument1_S165,ctrl,,,,
d1930_instrument2_S166,ctrl,,,,
d1930_instrument3_S167,ctrl,,,,
d1930_instrument4_S168,ctrl,,,,
d1930_instrument5_S169,ctrl,,,,
d1930_lung_aebuf1_S161,ctrl,,,,
d1930_lung_aebuf2_S162,ctrl,,,,
d1930_lung_aebuf3_S163,ctrl,,,,
d1930_lung_aebuf4_S164,ctrl,,,,
